x;y;z;time
-1,59; 5,55; 6,85; 2891656989
-1,72; 5,16; 7,89; 2891657008
-1,39; 5,04; 9,12; 2891657028
-0,96; 5,25; 9,36; 2891657053
-1,03; 5,46; 8,26; 2891657068
-1,11; 5,49; 8,21; 2891657087
-0,99; 5,40; 8,71; 2891657104
-1,09; 5,44; 8,11; 2891657124
-1,17; 5,47; 7,87; 2891657143
-1,10; 5,56; 7,95; 2891657172
-0,92; 5,61; 8,17; 2891657183
-0,84; 5,54; 8,32; 2891657202
-1,05; 5,49; 8,01; 2891657222
-1,11; 5,50; 8,07; 2891657241
-1,00; 5,44; 8,38; 2891657269
-1,04; 5,40; 8,26; 2891657283
-1,19; 5,37; 8,09; 2891657300
-1,21; 5,35; 8,01; 2891657319
-1,05; 5,48; 8,26; 2891657337
-1,15; 5,48; 8,04; 2891657356
-1,24; 5,45; 7,93; 2891657376
-1,13; 5,51; 8,03; 2891657401
-1,20; 5,51; 7,81; 2891657420
-1,17; 5,48; 8,20; 2891657435
-1,22; 5,43; 8,33; 2891657455
-1,30; 5,35; 8,25; 2891657472
-1,33; 5,25; 8,24; 2891657493
-1,42; 5,18; 8,07; 2891657520
-1,23; 5,13; 8,36; 2891657536
-1,01; 5,11; 8,68; 2891657552
-1,00; 5,08; 8,57; 2891657571
-0,99; 5,29; 8,06; 2891657590
-0,96; 5,50; 7,75; 2891657610
-0,83; 5,56; 7,93; 2891657636
-0,67; 5,62; 8,16; 2891657651
-0,51; 5,65; 8,27; 2891657669
-0,62; 5,64; 8,16; 2891657686
-0,78; 5,49; 8,18; 2891657707
-0,76; 5,27; 8,39; 2891657726
-0,65; 5,28; 8,30; 2891657754
-0,64; 5,55; 7,71; 2891657767
-0,48; 5,66; 7,48; 2891657784
-0,25; 5,63; 7,68; 2891657803
-0,37; 5,63; 8,12; 2891657821
-0,58; 5,58; 8,32; 2891657842
-0,80; 5,48; 8,16; 2891657871
-0,86; 5,55; 8,16; 2891657887
-0,74; 5,65; 8,94; 2891657901
-0,60; 5,81; 9,49; 2891657921
-0,52; 5,86; 9,13; 2891657938
-0,67; 5,88; 8,38; 2891657959
-0,71; 5,78; 7,85; 2891657985
-0,51; 5,74; 7,88; 2891658001
-0,20; 5,73; 8,13; 2891658017
-0,39; 5,68; 7,74; 2891658036
-0,83; 5,58; 7,18; 2891658056
-1,14; 5,49; 7,00; 2891658075
-1,17; 5,42; 7,13; 2891658094
-1,03; 5,54; 7,38; 2891658115
-0,96; 5,80; 7,71; 2891658136
-0,98; 5,90; 8,01; 2891658153
-0,93; 6,01; 8,24; 2891658172
-0,76; 6,17; 8,31; 2891658193
-0,63; 6,23; 8,27; 2891658219
-0,67; 6,17; 8,16; 2891658234
-0,69; 6,15; 8,56; 2891658252
-0,66; 6,05; 8,88; 2891658268
-0,69; 6,01; 8,83; 2891658287
-0,73; 6,10; 8,56; 2891658307
-0,65; 6,17; 7,91; 2891658327
-0,49; 6,07; 8,04; 2891658353
-0,57; 5,96; 8,33; 2891658368
-0,92; 5,50; 8,54; 2891658384
-1,33; 4,97; 8,70; 2891658405
-1,37; 4,78; 8,74; 2891658425
-1,14; 4,89; 8,53; 2891658444
-0,78; 5,09; 8,47; 2891658463
-0,42; 5,20; 9,11; 2891658486
-0,55; 4,82; 10,18; 2891658502
-0,70; 4,31; 11,03; 2891658522
-0,35; 4,28; 10,63; 2891658542
0,32; 4,84; 8,94; 2891658561
0,57; 5,29; 7,52; 2891658580
0,30; 5,40; 6,88; 2891658602
-0,27; 5,20; 6,90; 2891658619
-0,64; 5,03; 7,45; 2891658637
-0,82; 4,79; 7,88; 2891658657
-1,00; 4,57; 7,97; 2891658677
-1,09; 4,55; 8,06; 2891658695
-0,95; 4,67; 8,29; 2891658716
-0,98; 4,65; 8,51; 2891658736
-1,09; 4,59; 8,44; 2891658755
-1,22; 4,82; 8,20; 2891658774
-1,28; 5,08; 7,62; 2891658793
-1,28; 5,30; 7,04; 2891658812
-1,15; 5,47; 6,83; 2891658831
-0,86; 5,61; 7,00; 2891658852
-0,48; 5,94; 7,27; 2891658871
-0,14; 6,26; 7,63; 2891658891
-0,15; 6,36; 8,00; 2891658910
-0,47; 6,37; 8,02; 2891658927
-0,81; 6,28; 8,01; 2891658953
-0,94; 6,17; 8,15; 2891658969
-1,00; 6,00; 8,45; 2891658986
-1,17; 5,63; 8,95; 2891659007
-1,28; 5,35; 9,34; 2891659026
-1,29; 5,38; 9,55; 2891659045
-1,34; 5,87; 8,52; 2891659064
-0,88; 5,97; 6,62; 2891659088
-1,30; 5,95; 6,77; 2891659102
-1,20; 5,38; 8,34; 2891659123
-0,86; 4,49; 10,15; 2891659141
-0,60; 4,63; 10,35; 2891659162
-0,32; 5,09; 9,59; 2891659187
-0,06; 5,17; 9,71; 2891659204
0,21; 4,97; 10,19; 2891659219
0,42; 4,81; 9,70; 2891659238
0,48; 4,82; 8,01; 2891659258
0,20; 4,79; 6,79; 2891659278
-0,03; 4,77; 6,87; 2891659304
0,03; 4,59; 7,79; 2891659319
-0,26; 4,28; 8,03; 2891659335
-0,74; 4,19; 7,41; 2891659355
-1,13; 4,43; 7,05; 2891659375
-1,18; 4,71; 7,88; 2891659393
-1,14; 4,79; 8,79; 2891659413
-1,15; 4,78; 9,44; 2891659437
-0,88; 4,83; 9,86; 2891659454
-0,48; 5,13; 9,55; 2891659471
-0,05; 5,53; 8,73; 2891659492
0,11; 5,78; 7,86; 2891659511
-0,18; 5,78; 7,20; 2891659529
-0,61; 5,73; 7,00; 2891659550
-0,93; 5,56; 7,10; 2891659568
-1,12; 5,41; 7,43; 2891659588
-1,24; 5,34; 7,71; 2891659607
-1,33; 5,33; 8,01; 2891659628
-1,31; 5,40; 8,27; 2891659647
-1,20; 5,59; 8,59; 2891659667
-0,99; 5,85; 8,94; 2891659688
-0,79; 5,98; 9,31; 2891659704
-0,72; 6,00; 9,52; 2891659726
-1,19; 6,02; 9,26; 2891659744
-1,34; 5,79; 7,93; 2891659762
-1,31; 5,46; 7,89; 2891659783
-1,60; 5,48; 8,70; 2891659803
-1,56; 5,09; 9,76; 2891659821
-1,30; 4,84; 9,78; 2891659840
-1,11; 4,78; 9,37; 2891659861
-1,04; 4,64; 9,74; 2891659879
-0,97; 4,69; 10,21; 2891659899
-0,85; 4,77; 9,03; 2891659921
-0,83; 5,04; 7,58; 2891659937
-0,94; 5,12; 7,35; 2891659957
-0,98; 4,80; 8,22; 2891659977
-0,98; 4,55; 8,84; 2891659995
-0,97; 4,59; 8,84; 2891660022
-1,03; 4,71; 8,34; 2891660039
-1,33; 4,83; 7,91; 2891660055
-1,65; 4,73; 7,85; 2891660073
-1,69; 4,71; 8,06; 2891660093
-1,41; 4,76; 8,27; 2891660112
-1,18; 4,77; 8,06; 2891660131
-1,02; 4,97; 7,59; 2891660152
-0,90; 5,22; 7,22; 2891660172
-0,77; 5,45; 7,03; 2891660188
-0,81; 5,57; 7,00; 2891660207
-0,86; 5,63; 7,19; 2891660229
-0,93; 5,78; 7,33; 2891660248
-1,05; 5,87; 7,53; 2891660272
-1,10; 5,92; 7,85; 2891660289
-1,14; 6,02; 8,21; 2891660305
-1,06; 6,09; 8,38; 2891660325
-0,99; 6,15; 8,05; 2891660345
-0,88; 6,21; 7,69; 2891660364
-0,88; 6,10; 8,02; 2891660383
-0,99; 5,95; 8,38; 2891660403
-1,34; 6,06; 8,30; 2891660422
-1,55; 6,81; 7,13; 2891660442
-0,93; 6,72; 5,32; 2891660462
-1,07; 6,01; 6,90; 2891660481
-1,15; 5,10; 9,25; 2891660499
-0,99; 3,94; 11,34; 2891660522
-0,80; 3,86; 10,74; 2891660539
-0,82; 4,39; 8,22; 2891660559
-0,88; 4,89; 7,24; 2891660577
-0,49; 5,49; 7,43; 2891660597
0,19; 5,56; 8,31; 2891660623
0,53; 5,44; 9,35; 2891660638
0,35; 5,11; 9,79; 2891660656
-0,19; 4,67; 9,40; 2891660674
-0,64; 4,60; 8,79; 2891660694
-0,79; 4,71; 8,40; 2891660714
-0,97; 4,84; 8,65; 2891660732
-1,26; 4,78; 8,96; 2891660753
-1,58; 4,64; 8,91; 2891660773
-1,59; 4,63; 8,68; 2891660792
-1,19; 4,92; 8,51; 2891660810
-0,79; 5,17; 8,64; 2891660830
-0,38; 5,30; 8,91; 2891660847
-0,22; 5,37; 8,65; 2891660869
-0,43; 5,37; 7,75; 2891660889
-0,74; 5,38; 7,07; 2891660907
-0,78; 5,40; 7,17; 2891660927
-0,65; 5,37; 7,73; 2891660947
-0,56; 5,26; 8,04; 2891660965
-0,76; 5,15; 7,91; 2891660990
-1,04; 5,15; 7,98; 2891661006
-1,12; 5,13; 8,23; 2891661023
-1,05; 5,10; 8,58; 2891661044
-0,88; 5,19; 9,10; 2891661062
-0,81; 5,34; 9,28; 2891661082
-0,89; 5,43; 9,22; 2891661106
-1,13; 5,85; 8,91; 2891661121
-0,92; 6,34; 7,32; 2891661139
-0,73; 6,36; 7,66; 2891661160
-0,94; 5,92; 9,32; 2891661178
-1,37; 4,77; 10,93; 2891661199
-1,83; 4,20; 10,66; 2891661223
-1,70; 4,58; 9,12; 2891661239
-0,99; 5,10; 8,97; 2891661256
-0,56; 5,35; 9,28; 2891661276
-0,30; 5,33; 8,35; 2891661295
-0,08; 5,40; 7,03; 2891661314
0,03; 5,52; 6,70; 2891661333
0,02; 5,34; 7,44; 2891661353
-0,10; 4,95; 8,30; 2891661373
-0,34; 4,66; 8,45; 2891661393
-0,79; 4,48; 8,39; 2891661413
-1,09; 4,40; 8,33; 2891661430
-1,11; 4,29; 8,20; 2891661450
-1,05; 4,27; 8,24; 2891661473
-0,94; 4,33; 8,40; 2891661488
-0,66; 4,54; 8,39; 2891661508
-0,39; 4,96; 8,10; 2891661528
-0,40; 5,22; 7,57; 2891661548
-0,72; 5,19; 7,25; 2891661567
-1,09; 5,16; 7,39; 2891661586
-1,11; 5,30; 7,80; 2891661607
-0,87; 5,54; 8,17; 2891661624
-0,78; 5,83; 8,18; 2891661645
-0,79; 5,96; 7,98; 2891661664
-0,75; 6,01; 8,01; 2891661682
-0,65; 6,13; 8,32; 2891661703
-0,68; 6,04; 8,48; 2891661723
-0,90; 5,84; 8,42; 2891661742
-0,88; 5,78; 8,50; 2891661761
-0,93; 5,71; 8,37; 2891661781
-1,21; 5,65; 8,61; 2891661800
-1,39; 6,20; 8,17; 2891661817
-0,86; 6,24; 6,47; 2891661838
-1,33; 6,07; 6,90; 2891661858
-1,06; 5,56; 7,66; 2891661877
-0,74; 4,77; 9,26; 2891661897
-0,59; 5,29; 9,99; 2891661915
-0,47; 5,84; 9,51; 2891661940
-0,50; 5,45; 9,92; 2891661958
-0,59; 5,15; 10,05; 2891661974
-0,49; 5,00; 9,19; 2891661995
-0,09; 4,77; 8,54; 2891662013
0,03; 4,68; 8,43; 2891662033
-0,29; 4,53; 8,49; 2891662057
-0,69; 4,16; 8,55; 2891662074
-1,05; 4,02; 8,09; 2891662090
-1,46; 4,03; 7,80; 2891662108
-1,70; 4,14; 8,14; 2891662128
-1,86; 4,36; 8,54; 2891662149
-1,63; 4,63; 8,69; 2891662168
-1,10; 4,99; 8,57; 2891662188
-0,54; 5,37; 8,49; 2891662207
-0,24; 5,64; 8,20; 2891662226
-0,18; 5,83; 7,64; 2891662246
-0,25; 5,91; 7,41; 2891662266
-0,46; 5,79; 7,36; 2891662284
-0,87; 5,56; 7,30; 2891662303
-1,22; 5,28; 7,23; 2891662323
-1,66; 5,13; 7,41; 2891662342
-2,06; 5,01; 7,91; 2891662362
-2,23; 5,04; 8,26; 2891662382
-1,98; 5,35; 8,32; 2891662400
-1,44; 5,80; 8,33; 2891662423
-1,13; 6,08; 8,64; 2891662440
-0,90; 6,17; 8,86; 2891662457
-0,71; 6,29; 8,81; 2891662478
-0,64; 6,44; 8,58; 2891662497
-0,77; 6,55; 8,19; 2891662518
-1,07; 6,86; 7,55; 2891662535
-1,11; 6,91; 6,67; 2891662554
-1,17; 6,47; 7,42; 2891662575
-1,28; 6,04; 9,09; 2891662594
-1,35; 5,18; 10,79; 2891662615
-1,67; 4,68; 10,56; 2891662633
-1,98; 4,79; 8,62; 2891662653
-2,01; 4,91; 7,85; 2891662675
-1,99; 4,80; 8,85; 2891662691
-1,67; 4,62; 9,99; 2891662711
-1,02; 4,71; 9,47; 2891662730
-0,41; 5,02; 7,51; 2891662749
-0,33; 5,21; 6,34; 2891662769
-0,49; 5,22; 6,76; 2891662791
-0,66; 5,05; 7,79; 2891662808
-1,05; 4,81; 8,49; 2891662826
-1,50; 4,66; 8,85; 2891662847
-1,69; 4,59; 8,66; 2891662867
-1,55; 4,57; 8,36; 2891662886
-1,36; 4,73; 8,21; 2891662909
-1,22; 4,87; 8,18; 2891662926
-1,06; 4,92; 8,37; 2891662944
-0,92; 4,97; 8,20; 2891662963
-0,79; 5,13; 8,10; 2891662983
-0,81; 5,28; 7,98; 2891663002
-0,91; 5,33; 7,44; 2891663022
-1,04; 5,33; 7,21; 2891663042
-0,95; 5,42; 7,33; 2891663061
-0,79; 5,59; 7,65; 2891663080
-0,77; 5,78; 7,91; 2891663100
-0,85; 5,88; 8,05; 2891663119
-0,95; 5,88; 8,39; 2891663142
-1,08; 5,85; 8,71; 2891663159
-1,24; 5,86; 8,73; 2891663176
-1,19; 5,83; 8,69; 2891663195
-1,03; 5,89; 8,60; 2891663217
-0,98; 6,01; 8,53; 2891663235
-1,13; 6,17; 8,54; 2891663259
-1,29; 6,81; 7,74; 2891663276
-0,57; 6,87; 5,85; 2891663292
-1,19; 6,64; 6,34; 2891663313
-1,42; 6,09; 7,73; 2891663333
-0,85; 5,12; 9,84; 2891663351
-0,70; 5,27; 10,38; 2891663370
-0,56; 5,79; 9,17; 2891663390
-0,28; 5,75; 8,50; 2891663408
-0,14; 5,63; 8,53; 2891663428
-0,04; 5,29; 8,55; 2891663448
-0,08; 4,68; 8,53; 2891663468
-0,23; 4,40; 8,32; 2891663487
-0,41; 4,33; 8,11; 2891663506
-0,65; 4,20; 8,20; 2891663526
-1,03; 4,17; 8,25; 2891663544
-1,33; 4,11; 8,29; 2891663563
-1,35; 4,04; 8,80; 2891663583
-1,12; 4,24; 9,34; 2891663602
-0,80; 4,65; 9,08; 2891663621
-0,52; 4,95; 8,32; 2891663644
-0,34; 5,13; 8,01; 2891663661
-0,31; 5,20; 8,11; 2892016127
-0,32; 5,24; 8,07; 2892016162
-0,54; 5,28; 7,91; 2892016180
-0,98; 5,26; 7,65; 2892016187
-1,22; 5,35; 7,33; 2892016206
-1,24; 5,49; 7,26; 2892016226
-1,08; 5,68; 7,74; 2892016244
-0,89; 5,72; 8,38; 2892016267
-0,90; 5,61; 8,99; 2892016284
-1,00; 5,44; 9,21; 2892016302
-1,08; 5,43; 9,00; 2892016322
-0,87; 5,58; 8,58; 2892016342
-0,65; 5,67; 8,18; 2892016361
-0,61; 5,69; 7,99; 2892016385
-0,59; 5,69; 7,99; 2892016401
-0,49; 5,66; 7,73; 2892016419
-0,56; 5,67; 7,19; 2892016439
-0,53; 5,77; 6,90; 2892016457
-0,56; 5,78; 6,94; 2892016477
-0,80; 5,56; 7,34; 2892016500
-1,02; 5,47; 7,85; 2892016517
-1,07; 5,60; 8,20; 2892016535
-0,99; 5,67; 8,46; 2892016556
-0,89; 5,63; 8,82; 2892016576
-0,92; 5,62; 8,77; 2892016593
-1,00; 5,56; 8,47; 2892016613
-0,80; 5,61; 8,28; 2892016632
-0,72; 5,67; 8,19; 2892016653
-0,87; 5,68; 8,03; 2892016672
-0,99; 5,53; 8,11; 2892016691
-1,15; 5,35; 8,23; 2892016711
-1,26; 5,26; 8,00; 2892016734
-1,15; 5,35; 7,90; 2892016751
-1,15; 5,47; 7,92; 2892016769
-1,14; 5,49; 8,14; 2892016788
-1,03; 5,57; 8,47; 2892016808
-0,96; 5,67; 8,86; 2892016827
-0,88; 5,70; 8,83; 2892016852
-0,65; 5,84; 8,45; 2892016869
-0,43; 5,98; 8,31; 2892016885
-0,37; 5,99; 8,34; 2892016904
-0,63; 5,87; 8,24; 2892016924
-0,93; 5,63; 8,10; 2892016944
-1,10; 5,52; 7,91; 2892016963
-1,13; 5,50; 7,95; 2892016983
-1,16; 5,46; 8,04; 2892017001
-1,37; 5,39; 7,65; 2892017021
-1,89; 5,36; 6,87; 2892017041
-1,52; 5,25; 7,75; 2892017060
-1,09; 5,46; 8,51; 2892017078
-1,07; 5,61; 8,82; 2892017102
-1,00; 5,80; 8,40; 2892017119
